"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.04.2024","5,1151","5,2016","5,2179","5,1079","","-1,68%"
"14.04.2024","5,2027","5,1147","5,2911","5,1026","","1,66%"
"07.04.2024","5,1175","5,0659","5,1478","4,9964","","1,03%"
"31.03.2024","5,0655","5,0138","5,0912","5,0038","","1,00%"
"24.03.2024","5,0153","5,0017","5,0178","4,9649","","0,31%"
"17.03.2024","4,9997","4,9954","5,0547","4,9500","","0,10%"
"10.03.2024","4,9949","4,9825","5,0012","4,9524","","0,29%"
"03.03.2024","4,9806","4,9541","4,9913","4,9305","","0,53%"
"25.02.2024","4,9541","4,9938","4,9987","4,9273","","-0,82%"
"18.02.2024","4,9951","4,9680","4,9972","4,9181","","0,58%"
"11.02.2024","4,9665","4,9536","4,9887","4,9510","","0,30%"
"04.02.2024","4,9517","4,9661","5,0178","4,9495","","-0,37%"
"28.01.2024","4,9699","4,9170","4,9811","4,9052","","1,08%"
"21.01.2024","4,9168","4,9328","5,0015","4,9013","","-0,29%"
"14.01.2024","4,9310","4,8560","4,9552","4,8412","","1,59%"
"07.01.2024","4,8539","4,8766","4,9093","4,8305","","-0,42%"
"31.12.2023","4,8743","4,8526","4,9404","4,8486","","0,46%"
"24.12.2023","4,8521","4,8500","4,8706","4,8015","","-0,13%"
"17.12.2023","4,8585","4,9406","4,9512","4,8473","","-1,59%"
"10.12.2023","4,9371","4,9262","4,9766","4,8742","","0,11%"
"03.12.2023","4,9317","4,8770","4,9673","4,8770","","1,06%"
"26.11.2023","4,8801","4,9045","4,9453","4,8568","","-0,45%"
"19.11.2023","4,9020","4,9010","4,9192","4,8420","","-0,08%"
"12.11.2023","4,9059","4,9005","4,9419","4,8358","","0,09%"
"05.11.2023","4,9013","4,9016","4,9538","4,8577","","0,00%"
"29.10.2023","4,9012","5,0137","5,0714","4,8748","","-2,27%"
"22.10.2023","5,0152","5,0322","5,0537","4,9298","","-0,32%"
"15.10.2023","5,0312","5,0527","5,0981","5,0084","","-0,96%"
"08.10.2023","5,0801","5,1600","5,1806","5,0270","","-1,27%"
"01.10.2023","5,1457","5,0304","5,2202","5,0304","","2,26%"
"24.09.2023","5,0320","4,9316","5,0791","4,9316","","1,96%"
"17.09.2023","4,9351","4,8679","4,9386","4,8380","","1,41%"
"10.09.2023","4,8663","4,9839","4,9861","4,8581","","-2,44%"
"03.09.2023","4,9882","4,9470","4,9945","4,9064","","0,85%"
"27.08.2023","4,9463","4,8709","4,9606","4,8417","","1,54%"
"20.08.2023","4,8711","4,9676","4,9958","4,8453","","-1,98%"
"13.08.2023","4,9694","4,9111","5,0014","4,9098","","1,32%"
"06.08.2023","4,9048","4,8733","4,9409","4,8396","","0,65%"
"30.07.2023","4,8733","4,7296","4,9215","4,7120","","2,95%"
"23.07.2023","4,7336","4,7790","4,7830","4,6940","","-0,96%"
"16.07.2023","4,7795","4,7889","4,8500","4,7594","","-0,21%"
"09.07.2023","4,7894","4,8683","4,9229","4,7749","","-1,70%"
"02.07.2023","4,8720","4,7880","4,9503","4,7588","","1,80%"
"25.06.2023","4,7860","4,7830","4,8740","4,7501","","-0,01%"
"18.06.2023","4,7864","4,8199","4,8310","4,7500","","-0,70%"
"11.06.2023","4,8199","4,8791","4,9001","4,7945","","-1,21%"
"04.06.2023","4,8791","4,9576","4,9759","4,8520","","-1,57%"
"28.05.2023","4,9571","4,9939","5,1273","4,9450","","-0,74%"
"21.05.2023","4,9939","4,9977","5,0442","4,9346","","-0,08%"
"14.05.2023","4,9981","4,9192","5,0026","4,8840","","1,60%"
"07.05.2023","4,9195","4,9528","5,0370","4,9074","","-0,65%"
"30.04.2023","4,9518","4,9867","5,0530","4,9240","","-0,70%"
"23.04.2023","4,9865","5,0469","5,0856","4,9690","","-1,23%"
"16.04.2023","5,0486","4,9096","5,0890","4,8985","","2,83%"
"09.04.2023","4,9096","5,0549","5,0930","4,8914","","-2,87%"
